h3_index,bicycle_amenities,bike_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,other_amenities,pet_amenity,social_amenities,water_amenities,parking_area,traffic_count,сharger_number,highway,public_transport,railway,subway,voltage,distance_class,car_amenities,needs_amenities,shops_amenities,work_amenity,has_charging_station,usage_type,study_amenity,latitude,longitude,distance_to_center
88194ac001fffff,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,82820.46302563883,4956183.333333333,0.0,4.0,11.0,0.0,0.0,0.0,757,0.0,0.0,2.0,0.0,0,nothing,0.0,51.32462352352296,-0.12928893279998932,16999.39464800711
88194ac003fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011217.2603392042,531011.0,0.0,0.0,9.0,0.0,0.0,0.0,762,0.0,0.0,2.0,0.0,0,nothing,0.0,51.31685883273679,-0.12504279000987573,16999.559595867693
88194ac005fffff,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17516.04716984178,3574342.3333333335,0.0,0.0,6.0,0.0,0.0,0.0,773,0.0,0.0,4.0,0.0,0,nothing,0.0,51.326703590236136,-0.14144364618822855,17000.01981351315
88194ac007fffff,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,1858495.8821677223,3803852.1458333335,0.0,31.0,22.0,2.0,0.0,0.0,778,2.0,19.0,10.0,0.0,0,nothing,0.0,51.31893903613696,-0.13719526130834592,17000.18494769884
88194ac009fffff,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,441276.2192138191,935172.3055555556,1.0,7.0,8.0,1.0,0.0,0.0,738,1.0,0.0,6.0,0.0,1,Public use,0.0,51.33030680792637,-0.12138157737741882,16998.604416661936
88194ac00bfffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552544.6888888889,0.0,0.0,4.0,0.0,0.0,0.0,742,0.0,0.0,4.0,0.0,0,nothing,0.0,51.32254237896286,-0.11713637294283838,16998.76942013458
88194ac00dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17516.04716984178,1367860.9583333335,0.0,0.0,12.0,0.0,0.0,0.0,753,0.0,1.0,4.0,0.0,0,nothing,0.0,51.33238781591003,-0.13353637964908296,16999.229458260026
88194ac011fffff,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,49907.03915650634,0.0,0.0,0.0,10.0,0.0,0.0,0.0,750,0.0,0.0,1.0,0.0,0,nothing,0.0,51.30701232723844,-0.10864987368535398,16999.098701492767
88194ac013fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,174291.49697158503,1370167.5,0.0,0.0,1.0,0.0,0.0,0.0,754,0.0,2.0,1.0,0.0,0,nothing,0.0,51.299246705251534,-0.10440857775546432,16999.262979235453
88194ac015fffff,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,13.0,0.0,1.0,0.0,397313.7342109392,2200938.3333333335,0.0,9.0,10.0,0.0,0.0,0.0,766,0.0,4.0,2.0,3.0,0,nothing,0.0,51.309093743938554,-0.12079795072488991,16999.72430177022
88194ac017fffff,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,121980.48778020119,596981.6,0.0,1.0,16.0,0.0,0.0,0.0,770,0.0,0.0,3.0,0.0,0,nothing,0.0,51.301328257515365,-0.11655441439147544,16999.888765643213
