h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,number_stations,highway,subway,voltage,has_charging_station,distance_to_center
88194ac001fffff,51.324623374676925,-0.12928906783754526,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,5803.188433689107,24827.5,0.0,5.0,0.0,0.0,0,17.854568629829952
88194ac003fffff,51.31685868394604,-0.12504292502196285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,54102.6572812768,0.0,0.0,0.0,0.0,0.0,0,18.71001220208069
88194ac005fffff,51.32670344133692,-0.1414437812039023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2919.3411949736296,17123.666666666668,0.0,0.0,0.0,0.0,0,17.674545124645803
88194ac007fffff,51.31893888729303,-0.1371953962985816,18.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,27.0,11.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,64926.18073456418,17536.125,0.0,29.0,0.0,0.0,0,18.513999795469093
88194ac009fffff,51.33030665907824,-0.12138171246229242,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,23.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,14612.684035428845,2796.9375,1.0,7.0,0.0,0.0,1,17.210841866875185
88194ac00bfffff,51.32254223017001,-0.11713650800221453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4147.833333333333,0.0,0.0,0.0,0.0,0,18.07549949013611
88194ac00dfffff,51.3323876670087,-0.1335365147121072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,2919.3411949736296,4182.0,0.0,0.0,0.0,0.0,0,17.005154809874536
88194ac011fffff,51.30701217855616,-0.1086500086937225,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2772.613286472574,0.0,0.0,0.0,0.0,0.0,0,19.817935836451504
88194ac013fffff,51.29924655662452,-0.1044087127383407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7262.145707149376,0.0,0.0,0.0,0.0,0.0,0,20.694617045782852
88194ac015fffff,51.3090935952031,-0.12079808571150717,5.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,5.0,8.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,17513.83723467116,8945.0,0.0,9.0,0.0,0.0,0,19.570698679126156
