count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6000,2000,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Counted,"Manual count",0,822,32199,466,5824,1019,91,256,278,593,374,2611,41922
6000,2001,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Counted,"Manual count",0,790,38423,479,6635,1237,157,278,285,526,571,3054,49381
6000,2002,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Counted,"Manual count",0,563,37103,347,5709,1159,159,236,132,556,434,2676,46398
6000,2003,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Estimated,"Estimated using previous year's AADF on this link",0,606,37697,409,5966,1111,161,246,123,484,468,2593,47271
6000,2004,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Counted,"Manual count",0,684,31325,292,5059,947,142,217,201,570,445,2522,39882
6000,2005,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Counted,"Manual count",0,685,35741,447,6326,1225,154,255,217,316,809,2976,46175
6000,2006,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Estimated,"Estimated using previous year's AADF on this link",0,798,35848,426,6795,1267,156,278,194,278,866,3039,46906
6000,2007,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Counted,"Manual count",0,575,36856,500,6730,981,134,285,186,387,454,2427,47088
6000,2008,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Estimated,"Estimated using previous year's AADF on this link",0,553,36561,600,7202,978,151,302,170,357,464,2422,47338
6000,2009,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Estimated,"Estimated using previous year's AADF on this link",0,553,36597,622,7404,938,158,302,152,296,433,2279,47455
6000,2010,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Estimated,"Estimated using previous year's AADF on this link",0,522,35829,670,7663,993,160,262,172,271,423,2281,46965
6000,2011,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Counted,"Manual count",0,509,37298,300,5617,1067,402,405,217,461,560,3112,46836
6000,2012,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Estimated,"Estimated using previous year's AADF on this link",0,486,36765,323,6061,1077,437,461,174,472,614,3235,46870
6000,2013,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Estimated,"Estimated using previous year's AADF on this link",0,479,36801,319,6478,1083,474,523,136,472,657,3346,47423
6000,2014,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Estimated,"Estimated using previous year's AADF on this link",0,512,36982,324,7092,1035,491,533,137,438,704,3338,48247
6000,2015,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Estimated,"Estimated using previous year's AADF on this link",0,530,37894,344,7747,1070,548,552,174,449,724,3518,50033
6000,2016,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Counted,"Manual count",0,625,33805,515,7847,2019,153,337,163,189,775,3635,46427
6000,2017,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58752074,-0.23795279,4.10,2.55,Counted,"Automatic counter",0,637,37146,555,9320,2324,179,413,183,214,884,4197,51855
6000,2018,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58751900,-0.23795286,4.10,2.55,Counted,"Automatic counter",0,634,36859,557,9623,2369,185,428,184,217,893,4275,51949
6000,2019,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58751900,-0.23795286,4.10,2.55,Counted,"Automatic counter",0,611,37243,555,9571,2346,195,444,182,215,892,4274,52254
6000,2020,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58751900,-0.23795286,4.10,2.55,Counted,"Automatic counter",0,388,27504,342,9050,2344,196,465,191,232,930,4358,41641
6000,2021,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58751900,-0.23795286,4.10,2.55,Counted,"Automatic counter",0,369,29346,319,9881,2492,204,487,196,233,937,4550,44465
6000,2022,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58751900,-0.23795286,4.10,2.55,Counted,"Automatic counter",0,415,33221,366,11230,2541,212,488,203,236,945,4625,49857
6000,2023,6,London,57,Barnet,M1,Major,A406,"M1 spur",522170,189100,51.58751900,-0.23795286,4.10,2.55,Estimated,"Estimated using previous year's AADF on this link",0,403,34143,383,11597,2531,212,496,204,232,914,4590,51117
6001,2000,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Manual count",0,1412,50743,725,8232,1508,141,395,373,608,451,3476,64588
6001,2001,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Manual count",0,963,51609,495,8769,1650,154,269,311,601,589,3574,65410
6001,2002,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Manual count",0,1011,53631,510,8538,1227,155,376,263,589,452,3062,66752
