year,region_id,region_name,ons_code,total_link_length_km,total_link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles
2023,6,London,E12000007,14817.39,9207.1,627800000,742100000,14591000000,253000000,2989500000,621000000,19196700000
2022,6,London,E12000007,14812.69,9204.18,605800000,701600000,14459500000,247800000,3031900000,648600000,19089300000
2021,6,London,E12000007,14808.32,9201.46,647200000,607600000,13983400000,239000000,2987800000,635500000,18453300000
2020,6,London,E12000007,14806.32,9200.22,697700000,463500000,12453500000,226100000,2877500000,593000000,16613600000
2019,6,London,E12000007,14814.85,9205.52,467800000,493200000,15628900000,280300000,3264400000,597500000,20264400000
2018,6,London,E12000007,14807.73,9201.1,518000000,463400000,15360300000,311400000,3259900000,597900000,19992900000
2017,6,London,E12000007,14842.02,9222.4,500500000,468800000,15397800000,314800000,3268100000,605900000,20055400000
2016,6,London,E12000007,14833.53,9217.13,506300000,473600000,15421400000,325400000,3224400000,638200000,20083000000
2015,6,London,E12000007,14796.15,9193.9,408500000,416400000,15407100000,343100000,2820200000,663400000,19650200000
2014,6,London,E12000007,14842.84,9222.91,411200000,407800000,15488600000,355400000,2785400000,643200000,19680400000
2013,6,London,E12000007,14829.64,9214.71,374100000,392000000,15295400000,363100000,2618500000,645500000,19314500000
2012,6,London,E12000007,14814.53,9205.32,395600000,409200000,15344900000,378500000,2552600000,655300000,19340500000
2011,6,London,E12000007,14800.1,9196.36,392100000,435300000,15525400000,374000000,2529300000,631300000,19495300000
2010,6,London,E12000007,14819.1,9208.16,395800000,452200000,15844200000,385700000,2535400000,634400000,19852000000
2009,6,London,E12000007,14800.6,9196.67,390000000,490300000,16043000000,389800000,2562000000,626600000,20111600000
2008,6,London,E12000007,14795.8,9193.68,385900000,493800000,16003800000,389000000,2678700000,668100000,20233400000
2007,6,London,E12000007,14783.53,9186.06,364100000,569400000,16185100000,403100000,2823300000,660500000,20641400000
2006,6,London,E12000007,14745.6,9162.49,392600000,533100000,16333900000,400300000,2743000000,671300000,20681700000
2005,6,London,E12000007,14741.26,9159.79,365200000,521500000,16355500000,374100000,2483300000,688300000,20422700000
2004,6,London,E12000007,14681.11,9122.42,324400000,498400000,16383700000,372400000,2428700000,680400000,20363500000
2003,6,London,E12000007,14712.92,9142.18,337000000,533100000,16445300000,361600000,2434500000,673600000,20448100000
2002,6,London,E12000007,14678.82,9121,312000000,471400000,16689500000,331600000,2253500000,669500000,20415500000
2001,6,London,E12000007,14640.3,9097.06,303200000,470700000,16581800000,318600000,2275200000,683600000,20329900000
2000,6,London,E12000007,14603.8,9074.38,285100000,443200000,16579100000,320800000,2246900000,698400000,20288400000
1999,6,London,E12000007,14568.8,9052.63,280900000,443300000,16643700000,329800000,2224200000,674000000,20315000000
1998,6,London,E12000007,14522.65,9023.96,274400000,406500000,16283300000,317400000,2113800000,698600000,19819700000
1997,6,London,E12000007,14488.18,9002.54,289100000,398600000,16229400000,315000000,2105300000,646100000,19694300000
1996,6,London,E12000007,14447.85,8977.48,290100000,375000000,16161500000,309600000,2055500000,647200000,19548900000
1995,6,London,E12000007,14417.87,8958.85,283300000,359900000,16003100000,303700000,2087000000,608700000,19362500000
1994,6,London,E12000007,14384.46,8938.09,278400000,369400000,16062800000,281800000,2010900000,623700000,19348500000
1993,6,London,E12000007,14350.45,8916.96,272100000,358200000,15882500000,273400000,1928600000,640900000,19083500000
