AADFYear,CP,Estimation_method,Estimation_method_detailed,ONS GOR Name,ONS LA Name,Road,RCat,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,FdPC,Fd2WMV,FdCar,FdBUS,FdLGV,FdHGVR2,FdHGVR3,FdHGVR4,FdHGVA3,FdHGVA5,FdHGVA6,FdHGV,FdAll_MV
2000,910004,"Counted","Manual count","North West","Knowsley",U,UU,352100,398200,53.478334454,-2.723203908,5,4,280,11,39,3,0,0,0,0,0,3,337
2000,910005,"Counted","Manual count","East Midlands","Nottinghamshire",C159,CU,451147,336827,52.926426614,-1.240622565,153,109,8736,96,931,64,9,7,3,0,1,84,9956
2000,910006,"Counted","Manual count","South West","Devon",B3215,BR,259800,95826,50.745066995,-3.988533100,2,22,1617,29,289,71,26,19,6,48,5,175,2132
2000,910009,"Counted","Manual count","Yorkshire and The Humber","Doncaster",U,UU,455900,406100,53.548569014,-1.157798495,67,45,5074,65,689,125,11,1,2,2,0,141,6014
2000,910013,"Counted","Manual count","South West","Devon",B3178,BU,302600,81984,50.629393116,-3.378470799,33,45,8778,167,1147,64,22,4,2,8,8,108,10245
2000,910018,"Estimated","Estimated using previous year's AADF on this link","North West","Cumbria",C3047,CR,360842,524160,54.611073100,-2.607795808,7,7,856,8,147,32,7,2,1,11,4,57,1075
2000,910026,"Counted","Manual count","Wales","Bridgend",C,CR,290181,186289,51.564750910,-3.585755757,2,7,2106,74,248,33,0,0,0,0,0,33,2468
2000,916464,"Counted","Manual count","South East","Oxfordshire",B430,BR,453400,223200,51.904790237,-1.225217232,4,32,4063,17,668,225,70,187,27,49,14,572,5352
2000,919007,"Counted","Manual count","North West","Oldham",B6197,BR,396581,408487,53.572975592,-2.053102464,8,15,1805,3,218,19,2,0,0,0,0,21,2062
2000,919009,"Counted","Manual count","North West","West Cheshire",B5393,BR,350516,369450,53.219786247,-2.742563092,26,15,2177,13,175,36,8,1,1,1,0,47,2427
2000,919011,"Counted","Manual count","North West","East Cheshire",B5071,BR,369156,350345,53.049470729,-2.461565813,38,66,3464,23,504,28,4,0,0,0,0,32,4089
2000,919017,"Counted","Manual count","West Midlands","Dudley",B4176,BU,391701,290510,52.512415552,-2.123715070,25,141,12072,90,1599,219,71,98,25,45,37,495,14397
2000,919019,"Estimated","Estimated using previous year's AADF on this link","West Midlands","Birmingham",B4146,BU,412444,284131,52.454994447,-1.818304695,87,114,10749,304,1303,82,27,17,8,4,0,138,12608
2000,919022,"Counted","Manual count","South West","Wiltshire",B3109,BR,383901,167623,51.407401718,-2.232844790,1,30,4528,5,650,78,7,5,1,1,1,93,5306
2000,919028,"Counted","Manual count","South East","Hampshire",B3334,BU,454610,104723,50.839467685,-1.225802475,139,316,16533,82,1413,221,19,22,10,12,11,295,18639
2000,919032,"Counted","Manual count","South East","West Sussex",B2146,BR,476821,120000,50.974301415,-0.907205615,8,10,3657,23,421,46,1,2,0,9,4,62,4173
2000,919035,"Counted","Manual count","South East","Buckinghamshire",B416,BR,496233,183054,51.538196438,-0.613855412,37,70,10262,86,1030,153,13,4,0,4,12,186,11634
2000,919054,"Counted","Manual count","Scotland","South Ayrshire",B7024,BU,233825,620223,55.447587267,-4.628890513,43,12,7159,113,447,61,11,3,5,0,0,80,7811
2000,919059,"Counted","Manual count","North West","Cumbria",B6413,BR,353435,560791,54.939600560,-2.728359912,25,13,1442,7,181,20,2,0,0,4,2,28,1671
2000,919068,"Counted","Manual count","Wales","Denbighshire",B5105,BR,311290,357773,53.109742491,-3.326662052,6,10,2113,28,427,72,18,4,3,2,7,106,2684
2000,919072,"Counted","Manual count","East Midlands","Derbyshire",B6050,BU,438012,373819,53.260019766,-1.431633892,26,123,11393,90,1292,352,19,19,10,11,7,418,13316
2000,919078,"Counted","Manual count","West Midlands","Herefordshire, County of",B4399,BU,351117,238477,52.042524557,-2.714126617,183,185,7495,79,1528,394,90,54,34,67,47,686,9973
2000,919084,"Estimated","Estimated using previous year's AADF on this link","South West","Gloucestershire",B4060,BR,375000,193851,51.642899740,-2.362682643,2,24,2295,30,298,63,2,3,2,3,1,74,2721
2000,919088,"Counted","Manual count","Yorkshire and The Humber","Kingston upon Hull, City of",B1231,BU,506091,428808,53.744863430,-0.392798255,635,179,12310,317,1001,138,11,2,7,4,1,163,13970
2000,919092,"Counted","Manual count","East of England","Cambridgeshire",B1050,BR,539064,285353,52.448446602,0.044812369,182,37,3496,23,510,146,10,11,11,6,2,186,4252
2000,919093,"Counted","Manual count","East of England","Norfolk",B1077,BR,611480,279718,52.374662099,1.105400260,21,47,7431,89,1042,140,21,20,16,26,6,229,8838
2000,919094,"Counted","Manual count","East of England","Suffolk",B1119,BR,627899,263650,52.223874915,1.335317620,58,58,3716,41,568,77,10,16,21,13,6,143,4526
2000,919099,"Counted","Manual count","South East","East Sussex",B2099,BR,562944,132513,51.068824641,0.324276228,40,15,4568,40,350,84,12,6,4,0,1,107,5080
2000,919133,"Counted","Manual count","Scotland","Angus",B9113,BR,348440,751510,56.652537064,-2.842530038,12,7,1070,8,199,83,112,51,15,69,26,356,1640
2000,919150,"Estimated","Estimated using previous year's AADF on this link","Scotland","City of Edinburgh",B6415,BR,332128,669239,55.911443678,-3.087338908,23,42,3311,50,639,111,8,8,4,10,11,152,4194
2000,919153,"Counted","Manual count","Scotland","East Lothian",B6355,BR,346630,668720,55.908610933,-2.855277417,16,13,1226,3,232,45,19,11,3,5,5,88,1562
2000,919196,"Counted","Manual count","Yorkshire and The Humber","East Riding of Yorkshire",B1230,BR,482380,429060,53.751408404,-0.752158866,52,51,4000,45,692,186,24,18,29,87,20,364,5152
2000,919208,"Counted","Manual count","West Midlands","Shropshire",B4397,BR,342750,322440,52.796471695,-2.850509083,18,18,1350,10,261,58,10,5,11,8,1,93,1732
2000,919233,"Counted","Manual count","Wales","Powys",B4520,BR,303137,233971,51.995708892,-3.412225830,9,13,766,6,239,36,5,0,0,0,0,41,1065
2000,919243,"Counted","Manual count","West Midlands","Warwickshire",B4115,BR,431327,271776,52.343172968,-1.541585488,27,18,848,2,97,13,0,9,0,0,1,23,988
2000,919247,"Counted","Manual count","East Midlands","Northamptonshire",B4525,BR,459864,242398,52.076718189,-1.127926276,5,76,1955,46,409,113,25,27,14,42,27,248,2734
2000,919258,"Counted","Manual count","South West","Somerset",B3152,BR,363894,131225,51.079204430,-2.516794720,6,59,2747,16,434,56,0,0,1,3,0,60,3316
2000,919272,"Counted","Manual count","South East","Isle of Wight",B3323,BR,445035,82640,50.641718088,-1.364468130,14,12,1773,25,215,47,2,3,3,0,0,55,2080
2000,919273,"Counted","Manual count","South East","Isle of Wight",B3323,BR,446590,86320,50.674687338,-1.342016525,13,67,1700,24,213,63,20,32,1,5,0,121,2125
2000,919281,"Counted","Manual count","East of England","Norfolk",B1145,BR,593771,320366,52.746171083,0.869337591,4,19,1649,9,194,57,8,20,17,8,8,118,1989
2000,919283,"Counted","Manual count","East of England","Norfolk",B1147,BR,601291,316071,52.704867635,0.977957749,55,37,3308,35,331,45,10,11,9,9,2,86,3797
2000,919284,"Counted","Manual count","East of England","Norfolk",B1149,BR,607868,337887,52.898214853,1.089013034,14,177,2604,26,444,53,6,3,2,1,0,65,3316
2000,919286,"Counted","Manual count","East of England","Cambridgeshire",B671,BR,508954,296042,52.551329977,-0.394527514,2,3,941,11,170,18,2,2,8,3,0,33,1158
2000,919287,"Counted","Manual count","East of England","Cambridgeshire",B1090,BR,519850,276320,52.371826085,-0.240985443,16,68,6356,51,631,118,2,1,1,6,4,132,7238
