iter	Logloss
0	0.6516157226
1	0.6149581162
2	0.5835735507
3	0.560116942
4	0.5359848414
5	0.5141381123
6	0.4978168486
7	0.4819845537
8	0.4707913889
9	0.4686729554
10	0.4653142223
11	0.4620150122
12	0.4595432688
13	0.4463858833
14	0.4356635257
15	0.4254971074
16	0.415896887
17	0.4080224482
18	0.4057602927
19	0.4046526637
20	0.4024362195
21	0.3962994444
22	0.3905008528
23	0.3852195742
24	0.3842396224
25	0.3831765451
26	0.3822978357
27	0.3802370299
28	0.3763231209
29	0.3727119825
30	0.3718259474
31	0.3696809342
32	0.368977933
33	0.3649599313
34	0.3609188473
35	0.3603622273
36	0.3592247741
37	0.3585572172
38	0.3551704527
39	0.3537851314
40	0.3501876484
41	0.3475629295
42	0.3470631571
43	0.3465289977
44	0.3456908022
45	0.3452585897
46	0.3446957538
47	0.3425602776
48	0.3411667333
49	0.3395182065
50	0.3377159505
51	0.3367759278
52	0.3349206471
53	0.33430469
54	0.333743721
55	0.3325144968
56	0.3309607121
57	0.3300659453
58	0.3292729962
59	0.3281563593
60	0.3259369251
61	0.3237089292
62	0.3219658687
63	0.3207228258
64	0.3200388653
65	0.3192950606
66	0.3186731729
67	0.3178623046
68	0.3166491265
69	0.3154184092
70	0.313983592
71	0.3134000401
72	0.3125784392
73	0.3114416304
74	0.3108606081
75	0.3095283244
76	0.3089979004
77	0.3085480706
78	0.3074247194
79	0.3058531696
80	0.305272832
81	0.3040045957
82	0.3035340232
83	0.3012798601
84	0.3003535783
85	0.2997082941
86	0.2992972415
87	0.2986907713
88	0.2981777101
89	0.2970592437
90	0.2963687593
91	0.2953440514
92	0.2943687821
93	0.2939066109
94	0.2928274503
95	0.2925373697
96	0.2917503916
97	0.2908409106
98	0.2897990732
99	0.2892295855
100	0.2888042796
101	0.2885430013
102	0.2881684942
103	0.2866398938
104	0.2861612958
105	0.2860029571
106	0.2851135041
107	0.2847237977
108	0.284114282
109	0.2836609637
110	0.2830992165
111	0.2823621293
112	0.281782522
113	0.280554505
114	0.2799062534
115	0.2791353834
116	0.2780994523
117	0.2775866898
118	0.2773342987
119	0.2763478242
120	0.2751854171
121	0.274194845
122	0.2736026944
123	0.2730783018
124	0.2727918575
125	0.2720555854
126	0.2717862362
127	0.2709792318
128	0.2703611889
129	0.2699472257
130	0.2687288486
131	0.2684993284
132	0.2682570181
133	0.267577503
134	0.2668323077
135	0.2653875244
136	0.2648880972
137	0.2642949076
138	0.2636442919
139	0.2630006319
140	0.2625530902
141	0.2612206536
142	0.2604147974
143	0.2597755085
144	0.2591395038
145	0.2587007088
146	0.2586187808
147	0.2580628588
148	0.2571480483
149	0.2568350422
150	0.256613611
151	0.2563722245
152	0.256101316
153	0.2555089485
154	0.2548062749
155	0.254041572
156	0.2535254957
157	0.2523274292
158	0.2521363122
159	0.2518803503
160	0.2512749066
161	0.2507586918
162	0.2504484912
163	0.2490207944
164	0.2480644239
165	0.2474122851
166	0.2466149662
167	0.2460658674
168	0.2458465501
169	0.2456424225
170	0.244567488
171	0.2441571776
172	0.2439459314
173	0.2438253312
174	0.2435334293
175	0.2433163155
176	0.2431195604
177	0.2428636857
178	0.2423196126
179	0.241829266
180	0.2415012644
181	0.240052546
182	0.2396312934
183	0.2395436106
184	0.2393102179
185	0.2390356482
186	0.2389672134
187	0.2384109375
188	0.2371841513
189	0.2366204294
190	0.2362126083
191	0.235662616
192	0.2352348486
193	0.2340749223
194	0.2325487019
195	0.23168565
196	0.2309915243
197	0.2303128342
198	0.2292038493
199	0.2289098109
