iter	Passed	Remaining
0	0	51
1	0	49
2	0	48
3	0	47
4	1	46
5	1	45
6	1	45
7	1	45
8	2	44
9	2	44
10	2	44
11	2	44
12	3	43
13	3	43
14	3	43
15	3	42
16	3	42
17	4	42
18	4	41
19	4	41
20	4	41
21	5	41
22	5	41
23	5	41
24	6	42
25	6	42
26	6	42
27	6	41
28	7	41
29	7	41
30	7	40
31	7	40
32	7	40
33	8	40
34	8	39
35	8	39
36	8	39
37	9	38
38	9	39
39	9	39
40	10	38
41	10	38
42	10	38
43	10	37
44	10	37
45	11	37
46	11	37
47	11	36
48	11	36
49	12	36
50	12	35
51	12	35
52	12	35
53	12	35
54	13	34
55	13	34
56	13	34
57	13	34
58	14	33
59	14	33
60	14	33
61	14	32
62	15	32
63	15	32
64	15	32
65	15	31
66	15	31
67	16	31
68	16	31
69	16	31
70	16	30
71	17	30
72	17	30
73	17	30
74	17	29
75	18	29
76	18	29
77	18	29
78	18	29
79	19	28
80	19	28
81	19	28
82	19	28
83	20	27
84	20	27
85	20	27
86	20	27
87	21	26
88	21	26
89	21	26
90	21	26
91	22	25
92	22	25
93	22	25
94	22	25
95	22	24
96	23	24
97	23	24
98	23	24
99	23	23
100	24	23
101	24	23
102	24	23
103	24	22
104	25	22
105	25	22
106	25	22
107	25	21
108	25	21
109	26	21
110	26	21
111	26	21
112	27	20
113	27	20
114	27	20
115	27	20
116	28	19
117	28	19
118	28	19
119	28	19
120	29	18
121	29	19
122	30	18
123	30	18
124	30	18
125	30	18
126	31	17
127	31	17
128	31	17
129	31	17
130	31	16
131	32	16
132	32	16
133	32	16
134	32	15
135	33	15
136	33	15
137	33	15
138	33	14
139	34	14
140	34	14
141	34	14
142	35	13
143	35	13
144	35	13
145	35	13
146	35	12
147	36	12
148	36	12
149	36	12
150	36	11
151	37	11
152	37	11
153	37	11
154	37	10
155	37	10
156	38	10
157	38	10
158	38	9
159	38	9
160	39	9
161	39	9
162	39	8
163	39	8
164	40	8
165	40	8
166	40	8
167	40	7
168	41	7
169	41	7
170	41	7
171	41	6
172	42	6
173	42	6
174	42	6
175	42	5
176	43	5
177	43	5
178	43	5
179	43	4
180	43	4
181	44	4
182	44	4
183	44	3
184	45	3
185	45	3
186	45	3
187	45	2
188	45	2
189	46	2
190	46	2
191	46	1
192	46	1
193	47	1
194	47	1
195	47	0
196	48	0
197	48	0
198	48	0
199	48	0
