h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,highway,voltage,сharger_number,has_charging_station,distance_to_center
88118180c3fffff,55.2267210741875,37.3016534279335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,0.0,0.0,0,61.77708475200384
88118180d3fffff,55.24476254415629,37.323087292261235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,0.0,0.0,0,59.441910547401285
8811818287fffff,55.240533143393684,37.25301701599613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,0.0,0.0,0,61.40151769969864
88118182d1fffff,55.264058217273295,37.22673626413978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,0.0,0.0,0,59.64180232246267
88118182d3fffff,55.26892652986115,37.23792569227649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,0.0,0.0,0,58.85762866617018
88118182d7fffff,55.2606119839588,37.23890284643395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,0.0,0.0,0,59.681327519292736
8811818351fffff,55.17177680788297,37.15545828724665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,220000.0,2.0,1,70.87219543492336
8811818353fffff,55.17664681206617,37.166607903553015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,220000.0,1.0,1,70.08878196387035
8811818357fffff,55.16833321499073,37.167596508059624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,35000.0,0.0,0,70.91209014011487
881181835dfffff,55.16690619548996,37.144312330226974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,220000.0,2.0,1,71.6581222147305
881181840bfffff,55.32037811464932,37.39686110882517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,0.0,0.0,0,50.02047428618107
8811818443fffff,55.3189789456863,37.373438642385146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,0.0,0.0,0,50.59734097254795
8811818447fffff,55.31065975533505,37.374390991822594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,0.0,0.0,0,51.46362047594634
8811818449fffff,55.317575569382036,37.35002237372437,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,23432.645305200276,2.0,0.0,0.0,0,51.211247323342555
881181844bfffff,55.322437046336354,37.36125230290669,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,0.0,0.0,0,50.46978502943317
881181844dfffff,55.309257348963904,37.350979182935895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.645305200276,0.0,0.0,0.0,0,52.068287109516405
