h3_index,bike_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,other_amenities,pet_amenity,social_amenities,water_amenities,parking_area,traffic_count,highway,public_transport,voltage,car_amenities,needs_amenities,shops_amenities,study_work_amenity,latitude,longitude,distance_to_center,number_stations,number_plugs,charger_rating,charger_rating_float,has_charging_station
88be080967fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2562.328188038225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.81664930085508,150.56309125950708,60.08862963931248,0.0,0.0,nothing,0.0,0
88be080969fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.83344819942238,150.57150820912682,59.15486076292006,0.0,0.0,nothing,0.0,0
88be08096bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.8322840649694,150.56065611350945,60.16595872287335,0.0,0.0,nothing,0.0,0
88be080a01fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.939390943770796,150.5218549955793,64.0609357170301,0.0,0.0,nothing,0.0,0
88be080a03fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0991253644316,0.0,0.0,0.0,0.0,-33.93822158097903,150.5109907300644,65.04328608871151,0.0,0.0,nothing,0.0,0
88be080a09fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.9477923076818,150.52606479730886,63.792741829040864,0.0,0.0,nothing,0.0,0
88be080a39fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.929819856634055,150.50678301155898,65.3297817777071,0.0,0.0,nothing,0.0,0
88be080a3bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.2973760932946,0.0,0.0,0.0,0.0,-33.92864926707313,150.49592044411256,66.31649443352005,0.0,0.0,nothing,0.0,0
88be080a41fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.2973760932946,0.0,0.0,0.0,0.0,-33.95736144452651,150.54114264518165,62.566224910169616,0.0,0.0,nothing,0.0,0
88be080a47fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0991253644316,0.0,0.0,0.0,0.0,-33.94896044250794,150.53693075989824,62.8152854464413,0.0,0.0,nothing,0.0,0
88be080a4dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.95852835019089,150.55201030385,61.59424257697271,0.0,0.0,nothing,0.0,0
88be080b11fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.893656497321075,150.54004717182767,61.97594474478478,0.0,0.0,nothing,0.0,0
88be080b49fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.9151154759038,150.59191707747962,57.33941331440693,0.0,0.0,nothing,0.0,0
88be080b4dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-33.90787855011071,150.59856443202244,56.66234776396067,0.0,0.0,nothing,0.0,0
88be080b61fffff,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,92365.02916915444,0.0,6.0,0.0,1539.3586005830905,0.0,0.0,0.0,0.0,-33.883843354310464,150.5967798748936,56.69389596251159,0.0,0.0,nothing,0.0,0
88be080b65fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.876606060726054,150.60342438778622,56.06365052544936,0.0,0.0,nothing,0.0,0
88be080b69fffff,0.0,0.0,3.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,549829.7210524677,0.0,13.0,1.0,0.0,0.0,1.0,1.0,0.0,-33.89224231683916,150.6009948573246,56.33665507630479,0.0,0.0,nothing,0.0,0
88be080b6dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,110797.76120490162,0.0,3.0,8.0,769.6793002915452,0.0,0.0,0.0,0.0,-33.88500479532235,150.60763971294332,55.6932399389087,0.0,0.0,nothing,0.0,0
88be081801fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-34.006343929898776,150.62746469462564,55.913617570517985,0.0,0.0,nothing,0.0,0
88be081805fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3848.396501457726,0.0,0.0,0.0,0.0,-33.99910515833789,150.63411655842435,55.10837769065069,0.0,0.0,nothing,0.0,0
88be08180bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-34.01358228580294,150.62081174967597,56.72544387797248,0.0,0.0,nothing,0.0,0
88be08180dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.00750373365262,150.63834129461156,54.982412739240445,0.0,0.0,nothing,0.0,0
88be081821fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.983467548559105,150.6365431337078,54.46560984915564,0.0,0.0,nothing,0.0,0
88be081825fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.2973760932946,0.0,0.0,0.0,0.0,-33.97622817267505,150.6431924932442,53.686202774199714,0.0,0.0,nothing,0.0,0
88be08182bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-33.99070651007991,150.62989269346983,55.2525207130726,0.0,0.0,nothing,0.0,0
88be081849fffff,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,123344.04923835886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-34.032699016930465,150.6510207328062,54.714756780206976,0.0,0.0,nothing,0.0,0
88be08184bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0315401085526,150.64014048989,55.622849236496435,0.0,0.0,nothing,0.0,0
88be081851fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-34.02921947420565,150.61838143072714,57.44951204905709,0.0,0.0,nothing,0.0,0
