h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,number_stations,number_plugs,charger_rating,highway,voltage,has_charging_station,distance_to_center
88be080349fffff,-34.075204323964456,150.52823755951883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,67.73667926898887
88be080967fffff,-33.81664922298,150.56309127448566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,60.70801362645321
88be080969fffff,-33.833448121422286,150.5715082240769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,59.78808700795438
88be08096bfffff,-33.83228398698166,150.56065612850355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,60.798713505261475
88be080a01fffff,-33.939390865019114,150.5218550107709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,330000.0,0,64.76759197445753
88be080a09fffff,-33.94779222886754,150.52606481248625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,nothing,0.0,330000.0,1,64.50426813190631
88be080a41fffff,-33.95736136563724,150.54114266030058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,nothing,0.0,330000.0,1,63.28384742225082
88be080a43fffff,-33.95619352466339,150.53027548310138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,nothing,0.0,330000.0,1,64.2557362713112
88be080a4dfffff,-33.9585282712892,150.5520103189247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,nothing,0.0,330000.0,1,62.31324480171155
88be080b11fffff,-33.89365641889501,150.5400471869282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,62.65514923124415
88be080b49fffff,-33.91511539730316,150.59191709237498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,58.03502462686124
88be080b61fffff,-33.88384327593529,150.59677988975793,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5075.083502955786,0.0,3.0,0.0,nothing,5.0,132000.0,1,57.367329922255244
88be080b65fffff,-33.876605982401095,150.60342440262073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,0.0,0,56.73158940841493
88be080b69fffff,-33.89224223840147,150.60099487217462,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,24.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21044.085245937844,0.0,0.0,0.0,nothing,14.0,0.0,0,57.01649379532351
88be080b6dfffff,-33.88500471693487,150.60763972776354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,4598.407954947155,0.0,2.0,0.0,nothing,3.0,132000.0,1,56.367778491216946
88be081003fffff,-34.16528693013519,150.552885376249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,nothing,0.0,330000.0,1,69.75244408457705
88be081007fffff,-34.1580531260233,150.55955554658476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,nothing,0.0,330000.0,1,68.83149661431177
