iter	Passed	Remaining
0	0	176
1	1	154
2	2	157
3	3	158
4	4	162
5	4	153
6	6	168
7	6	167
8	7	163
9	8	160
10	9	159
11	9	156
12	10	155
13	11	153
14	12	153
15	13	152
16	14	151
17	14	150
18	15	150
19	16	149
20	17	150
21	18	149
22	19	148
23	20	147
24	20	146
25	21	145
26	22	145
27	23	147
28	24	146
29	25	144
30	26	143
31	27	144
32	28	142
33	29	142
34	29	141
35	30	139
36	31	139
37	32	137
38	33	137
39	34	138
40	35	137
41	36	135
42	36	134
43	37	133
44	38	132
45	39	132
46	40	131
47	41	131
48	42	130
49	43	129
50	43	127
51	44	126
52	45	125
53	46	125
54	47	124
55	48	123
56	49	123
57	50	122
58	50	121
59	51	120
60	52	119
61	53	118
62	54	117
63	55	116
64	55	116
65	56	115
66	57	114
67	58	113
68	59	112
69	60	111
70	60	110
71	61	109
72	62	108
73	63	107
74	64	107
75	65	106
76	66	105
77	67	104
78	67	104
79	68	102
80	69	102
81	70	101
82	71	100
83	72	100
84	73	99
85	74	98
86	74	97
87	75	96
88	76	95
89	77	94
90	78	93
91	79	93
92	80	92
93	81	91
94	82	91
95	83	90
96	84	89
97	85	88
98	86	87
99	86	86
100	87	85
101	88	85
102	89	84
103	90	83
104	91	82
105	92	81
106	93	81
107	94	80
108	95	79
109	95	78
110	96	77
111	97	76
112	98	75
113	99	74
114	99	73
115	100	73
116	102	72
117	102	71
118	103	70
119	104	69
120	105	69
121	106	68
122	107	67
123	108	66
124	109	65
125	109	64
126	110	63
127	111	62
128	112	61
129	113	61
130	114	60
131	115	59
132	115	58
133	116	57
134	117	56
135	118	55
136	118	54
137	119	53
138	120	52
139	121	52
140	122	51
141	123	50
142	124	49
143	124	48
144	125	47
145	126	46
146	127	45
147	128	44
148	129	44
149	129	43
150	130	42
151	131	41
152	132	40
153	133	39
154	134	39
155	135	38
156	137	37
157	138	36
158	139	35
159	140	35
160	141	34
161	142	33
162	143	32
163	144	31
164	145	30
165	146	30
166	147	29
167	148	28
168	150	27
169	150	26
170	151	25
171	152	24
172	153	23
173	154	23
174	155	22
175	155	21
176	156	20
177	157	19
178	158	18
179	159	17
180	159	16
181	160	15
182	161	14
183	162	14
184	163	13
185	164	12
186	165	11
187	165	10
188	166	9
189	167	8
190	168	7
191	169	7
192	171	6
193	171	5
194	172	4
195	173	3
196	174	2
197	175	1
198	176	0
199	177	0
